Speltitel;Placering;Land;Datum
Twin Moons Society™: Hidden Mystery;294;USA;2017-04-26
Supermarket Mania® Journey;296;USA;2017-04-26
Survivors: The Quest;353;USA;2017-04-26
Brave Tribe;657;USA;2017-04-26
The Paranormal Society: Hidden Adventure;867;USA;2017-04-26
Homicide Squad: Hidden Crimes;885;USA;2017-04-26
Letters From Nowhere: A Hidden Object Mystery;906;USA;2017-04-26
Hidden City: Mystery of Shadows;36;UK;2017-04-26
Mahjong Journey;45;UK;2017-04-26
The Secret Society™ - Hidden Mystery;57;UK;2017-04-26
Twin Moons Society™: Hidden Mystery;153;UK;2017-04-26
Survivors: The Quest;161;UK;2017-04-26
Supermarket Mania® Journey;348;UK;2017-04-26
Brave Tribe;437;UK;2017-04-26
Homicide Squad: Hidden Crimes;828;UK;2017-04-26
Hidden City: Mystery of Shadows;25;Tyskland;2017-04-26
Mahjong Journey;81;Tyskland;2017-04-26
Supermarket Mania® Journey;98;Tyskland;2017-04-26
The Secret Society™ - Hidden Mystery;152;Tyskland;2017-04-26
Twin Moons Society™: Hidden Mystery;205;Tyskland;2017-04-26
Homicide Squad: Hidden Crimes;287;Tyskland;2017-04-26
Survivors: The Quest;351;Tyskland;2017-04-26
Brave Tribe;360;Tyskland;2017-04-26
Letters From Nowhere: A Hidden Object Mystery;563;Tyskland;2017-04-26
Virtual City Playground HD;640;Tyskland;2017-04-26
Virtual City Playground;692;Tyskland;2017-04-26
The Island Castaway: Lost World®;771;Tyskland;2017-04-26
Supermarket Management 2 HD;798;Tyskland;2017-04-26
The Secret Society™ - Hidden Mystery;59;Canada;2017-04-26
Hidden City: Mystery of Shadows;70;Canada;2017-04-26
Mahjong Journey;121;Canada;2017-04-26
Twin Moons Society™: Hidden Mystery;212;Canada;2017-04-26
Supermarket Mania® Journey;282;Canada;2017-04-26
Survivors: The Quest;347;Canada;2017-04-26
Letters From Nowhere: A Hidden Object Mystery;439;Canada;2017-04-26
Brave Tribe;513;Canada;2017-04-26
Homicide Squad: Hidden Crimes;542;Canada;2017-04-26
The Island Castaway: Lost World®;607;Canada;2017-04-26
Mind Snares: Alice&#39s Journey HD;764;Canada;2017-04-26
Supermarket Management 2 HD;853;Canada;2017-04-26
Dress Up Rush HD;913;Canada;2017-04-26
Kate Malone: Hidden Object Detective;940;Canada;2017-04-26
Hidden City: Mystery of Shadows;49;Frankrike;2017-04-26
Mahjong Journey;75;Frankrike;2017-04-26
Brave Tribe;89;Frankrike;2017-04-26
The Secret Society™ - Hidden Mystery;91;Frankrike;2017-04-26
Twin Moons Society™: Hidden Mystery;109;Frankrike;2017-04-26
Supermarket Mania® Journey;128;Frankrike;2017-04-26
Survivors: The Quest;357;Frankrike;2017-04-26
Kate Malone: Hidden Object Detective;433;Frankrike;2017-04-26
Homicide Squad: Hidden Crimes;473;Frankrike;2017-04-26
The Island Castaway: Lost World®;785;Frankrike;2017-04-26
The Island - Castaway™ HD;921;Frankrike;2017-04-26
Royal Trouble: Hidden Honeymoon Havoc HD;922;Frankrike;2017-04-26
Hidden City: Mystery of Shadows;68;Japan;2017-04-26
The Secret Society™ - Hidden Mystery;234;Japan;2017-04-26
Mahjong Journey;351;Japan;2017-04-26
Supermarket Mania® Journey;384;Japan;2017-04-26
Twin Moons Society™: Hidden Mystery;426;Japan;2017-04-26
Brave Tribe;547;Japan;2017-04-26
Survivors: The Quest;585;Japan;2017-04-26
Homicide Squad: Hidden Crimes;770;Japan;2017-04-26
Jane&#39s Hotel 2: Family Hero HD;931;Japan;2017-04-26
The Paranormal Society: Hidden Adventure;945;Japan;2017-04-26
Hidden City: Mystery of Shadows;53;Australien;2017-04-26
Mahjong Journey;74;Australien;2017-04-26
The Secret Society™ - Hidden Mystery;106;Australien;2017-04-26
Survivors: The Quest;116;Australien;2017-04-26
Supermarket Mania® Journey;280;Australien;2017-04-26
The Island Castaway: Lost World®;411;Australien;2017-04-26
Twin Moons Society™: Hidden Mystery;419;Australien;2017-04-26
Letters From Nowhere: A Hidden Object Mystery;805;Australien;2017-04-26
Totem Tribe Gold HD;852;Australien;2017-04-26
Supermarket Management 2 HD;869;Australien;2017-04-26
Hidden City: Mystery of Shadows;42;Italien;2017-04-26
The Secret Society™ - Hidden Mystery;104;Italien;2017-04-26
Mahjong Journey;116;Italien;2017-04-26
Twin Moons Society™: Hidden Mystery;216;Italien;2017-04-26
Survivors: The Quest;315;Italien;2017-04-26
9 Clues: The Secret of Serpent Creek HD;357;Italien;2017-04-26
Homicide Squad: Hidden Crimes;415;Italien;2017-04-26
Jane&#39s Hotel 2: Family Hero HD;431;Italien;2017-04-26
Build-a-lot 4: Power Source HD;436;Italien;2017-04-26
Brightstone Mysteries: Paranormal Hotel HD;475;Italien;2017-04-26
Brave Tribe;572;Italien;2017-04-26
Build-a-lot 3: Passport to Europe HD (Full);722;Italien;2017-04-26
Nightmares from the Deep: The Cursed Heart, Collector’s Edition HD;886;Italien;2017-04-26
Vampires: Todd and Jessica&#39s Story HD (Full);887;Italien;2017-04-26
Mind Snares: Alice&#39s Journey HD;888;Italien;2017-04-26
Supermarket Mania® Journey;952;Italien;2017-04-26
Youda Survivor HD;973;Italien;2017-04-26
Hidden City: Mystery of Shadows;59;Holland;2017-04-26
Twin Moons Society™: Hidden Mystery;241;Holland;2017-04-26
Mahjong Journey;291;Holland;2017-04-26
Build-a-lot 3: Passport to Europe HD (Full);486;Holland;2017-04-26
Royal Trouble: Hidden Honeymoon Havoc HD (Full);693;Holland;2017-04-26
Kate Malone: Hidden Object Detective;737;Holland;2017-04-26
The Mystery of the Crystal Portal 2: Beyond the Horizon HD (Full);789;Holland;2017-04-26
The Mystery of the Crystal Portal 2 - Beyond the Horizon HD;794;Holland;2017-04-26
Hidden City: Mystery of Shadows;32;Spanien;2017-04-26
Mahjong Journey;62;Spanien;2017-04-26
The Secret Society™ - Hidden Mystery;88;Spanien;2017-04-26
Twin Moons Society™: Hidden Mystery;121;Spanien;2017-04-26
Survivors: The Quest;164;Spanien;2017-04-26
Letters From Nowhere: A Hidden Object Mystery;206;Spanien;2017-04-26
Nightmares from the Deep: The Cursed Heart, Collector’s Edition HD;264;Spanien;2017-04-26
Lost Souls: Timeless Fables Collector&#39s Edition HD;265;Spanien;2017-04-26
Game of Dragons HD;266;Spanien;2017-04-26
The Paranormal Society: Hidden Adventure;318;Spanien;2017-04-26
The Mystery of the Crystal Portal HD (Free);348;Spanien;2017-04-26
Brave Tribe;401;Spanien;2017-04-26
Left in the Dark: No One on Board HD;426;Spanien;2017-04-26
Supermarket Mania® Journey;463;Spanien;2017-04-26
Graven: The Purple Moon Prophecy HD;626;Spanien;2017-04-26
Myths of Orion: Light from the North HD (Full);830;Spanien;2017-04-26
The Cursed Ship, Collector’s Edition HD;854;Spanien;2017-04-26
Virtual City Playground HD;981;Spanien;2017-04-26
Hidden City: Mystery of Shadows;49;Kina;2017-04-26
Twin Moons Society™: Hidden Mystery;380;Kina;2017-04-26
Mahjong Journey;395;Kina;2017-04-26
The Secret Society™ - Hidden Mystery;410;Kina;2017-04-26
Survivors: The Quest;471;Kina;2017-04-26
Lost Souls: Timeless Fables Collector&#39s Edition HD;560;Kina;2017-04-26
Homicide Squad: Hidden Crimes;603;Kina;2017-04-26
The Cursed Ship, Collector’s Edition HD;627;Kina;2017-04-26
Youda Survivor HD;783;Kina;2017-04-26
Dress Up Rush HD;794;Kina;2017-04-26
Supermarket Mania® Journey;816;Kina;2017-04-26
Royal Trouble: Hidden Honeymoon Havoc HD;830;Kina;2017-04-26
Dreamscapes: The Sandman Collector&#39s Edition HD;831;Kina;2017-04-26
Virtual City Playground HD;833;Kina;2017-04-26
Abyss: the Wraiths of Eden HD;949;Kina;2017-04-26
Stand O’ Food® Empire;961;Kina;2017-04-26
Lost Souls: Enchanted Paintings HD;994;Kina;2017-04-26
Brave Tribe;999;Kina;2017-04-26
The Secret Society™ - Hidden Mystery;39;Korea;2017-04-26
Hidden City: Mystery of Shadows;92;Korea;2017-04-26
Survivors: The Quest;122;Korea;2017-04-26
Supermarket Mania® Journey;144;Korea;2017-04-26
Twin Moons Society™: Hidden Mystery;225;Korea;2017-04-26
Mahjong Journey;294;Korea;2017-04-26
Virtual City Playground HD;585;Korea;2017-04-26
The Island Castaway: Lost World®;748;Korea;2017-04-26
Letters From Nowhere: A Hidden Object Mystery;849;Korea;2017-04-26
Brave Tribe;922;Korea;2017-04-26
Lost Souls: Enchanted Paintings HD;930;Korea;2017-04-26
Stand O’ Food® Empire;949;Korea;2017-04-26
Hidden City: Mystery of Shadows;22;Ryssland;2017-04-26
The Secret Society™ - Hidden Mystery;69;Ryssland;2017-04-26
Mahjong Journey;108;Ryssland;2017-04-26
Letters From Nowhere: A Hidden Object Mystery;157;Ryssland;2017-04-26
Twin Moons Society™: Hidden Mystery;274;Ryssland;2017-04-26
Questerium: Sinister Trinity, Collector&#39s Edition HD (Full);402;Ryssland;2017-04-26
Survivors: The Quest;450;Ryssland;2017-04-26
9 Clues: The Secret of Serpent Creek HD;713;Ryssland;2017-04-26
Game of Dragons HD;719;Ryssland;2017-04-26
The Paranormal Society: Hidden Adventure;732;Ryssland;2017-04-26
Supermarket Mania® Journey;770;Ryssland;2017-04-26
Treasure Seekers - Visions of Gold HD;824;Ryssland;2017-04-26
Treasure Seekers 2: The Enchanted Canvases HD (Free);825;Ryssland;2017-04-26
Hidden City: Mystery of Shadows;45;Brasilien;2017-04-26
The Secret Society™ - Hidden Mystery;73;Brasilien;2017-04-26
Survivors: The Quest;172;Brasilien;2017-04-26
Mahjong Journey;339;Brasilien;2017-04-26
The Paranormal Society: Hidden Adventure;347;Brasilien;2017-04-26
Lost Souls: Enchanted Paintings HD;456;Brasilien;2017-04-26
Supermarket Mania® Journey;466;Brasilien;2017-04-26
Homicide Squad: Hidden Crimes;552;Brasilien;2017-04-26
Twin Moons Society™: Hidden Mystery;643;Brasilien;2017-04-26
Graven: The Purple Moon Prophecy HD;646;Brasilien;2017-04-26
The Island Castaway: Lost World®;809;Brasilien;2017-04-26
Virtual City Playground HD;945;Brasilien;2017-04-26
Hidden City: Mystery of Shadows;51;USA;2017-04-27
The Secret Society™ - Hidden Mystery;63;USA;2017-04-27
Mahjong Journey;83;USA;2017-04-27
Twin Moons Society™: Hidden Mystery;264;USA;2017-04-27
Supermarket Mania® Journey;265;USA;2017-04-27
Survivors: The Quest;345;USA;2017-04-27
Letters From Nowhere: A Hidden Object Mystery;504;USA;2017-04-27
Brave Tribe;682;USA;2017-04-27
Homicide Squad: Hidden Crimes;816;USA;2017-04-27
The Paranormal Society: Hidden Adventure;928;USA;2017-04-27
The Secret Society™ - Hidden Mystery;34;UK;2017-04-27
Hidden City: Mystery of Shadows;44;UK;2017-04-27
Mahjong Journey;49;UK;2017-04-27
Twin Moons Society™: Hidden Mystery;141;UK;2017-04-27
Survivors: The Quest;211;UK;2017-04-27
Virtual City Playground HD;308;UK;2017-04-27
Supermarket Mania® Journey;437;UK;2017-04-27
Homicide Squad: Hidden Crimes;564;UK;2017-04-27
Brave Tribe;704;UK;2017-04-27
Letters From Nowhere: A Hidden Object Mystery;834;UK;2017-04-27
The Paranormal Society: Hidden Adventure;984;UK;2017-04-27
Hidden City: Mystery of Shadows;34;Tyskland;2017-04-27
The Secret Society™ - Hidden Mystery;52;Tyskland;2017-04-27
Mahjong Journey;93;Tyskland;2017-04-27
Twin Moons Society™: Hidden Mystery;192;Tyskland;2017-04-27
Supermarket Mania® Journey;219;Tyskland;2017-04-27
Homicide Squad: Hidden Crimes;330;Tyskland;2017-04-27
Letters From Nowhere: A Hidden Object Mystery;358;Tyskland;2017-04-27
Survivors: The Quest;369;Tyskland;2017-04-27
Brave Tribe;391;Tyskland;2017-04-27
Supermarket Management 2 HD;744;Tyskland;2017-04-27
The Secret Society™ - Hidden Mystery;48;Canada;2017-04-27
Hidden City: Mystery of Shadows;82;Canada;2017-04-27
Mahjong Journey;101;Canada;2017-04-27
Supermarket Mania® Journey;219;Canada;2017-04-27
Survivors: The Quest;228;Canada;2017-04-27
Twin Moons Society™: Hidden Mystery;327;Canada;2017-04-27
Letters From Nowhere: A Hidden Object Mystery;582;Canada;2017-04-27
Homicide Squad: Hidden Crimes;681;Canada;2017-04-27
Nightmares from the Deep: The Cursed Heart, Collector’s Edition HD;755;Canada;2017-04-27
The Island: Castaway 2™ HD;762;Canada;2017-04-27
Jane&#39s Hotel 2: Family Hero HD;865;Canada;2017-04-27
Brave Tribe;942;Canada;2017-04-27
Hidden City: Mystery of Shadows;60;Frankrike;2017-04-27
Mahjong Journey;78;Frankrike;2017-04-27
Brave Tribe;88;Frankrike;2017-04-27
The Secret Society™ - Hidden Mystery;124;Frankrike;2017-04-27
Supermarket Mania® Journey;211;Frankrike;2017-04-27
Twin Moons Society™: Hidden Mystery;244;Frankrike;2017-04-27
Survivors: The Quest;289;Frankrike;2017-04-27
Kate Malone: Hidden Object Detective;431;Frankrike;2017-04-27
The Island - Castaway™ HD;592;Frankrike;2017-04-27
Homicide Squad: Hidden Crimes;637;Frankrike;2017-04-27
The Island Castaway: Lost World®;846;Frankrike;2017-04-27
Letters From Nowhere: A Hidden Object Mystery;973;Frankrike;2017-04-27
Hidden City: Mystery of Shadows;78;Japan;2017-04-27
The Secret Society™ - Hidden Mystery;159;Japan;2017-04-27
Twin Moons Society™: Hidden Mystery;311;Japan;2017-04-27
Mahjong Journey;395;Japan;2017-04-27
Survivors: The Quest;437;Japan;2017-04-27
Supermarket Mania® Journey;518;Japan;2017-04-27
Brave Tribe;560;Japan;2017-04-27
Homicide Squad: Hidden Crimes;689;Japan;2017-04-27
Kate Malone: Hidden Object Detective;754;Japan;2017-04-27
Nightmares from the Deep®: A Hidden Object Adventure;870;Japan;2017-04-27
Hidden City: Mystery of Shadows;60;Australien;2017-04-27
Mahjong Journey;68;Australien;2017-04-27
The Secret Society™ - Hidden Mystery;95;Australien;2017-04-27
Twin Moons Society™: Hidden Mystery;153;Australien;2017-04-27
Survivors: The Quest;231;Australien;2017-04-27
Supermarket Mania® Journey;280;Australien;2017-04-27
Kate Malone: Hidden Object Detective;561;Australien;2017-04-27
The Island - Castaway™ HD;683;Australien;2017-04-27
Letters From Nowhere: A Hidden Object Mystery;697;Australien;2017-04-27
The Island Castaway: Lost World®;707;Australien;2017-04-27
Hidden City: Mystery of Shadows;63;Italien;2017-04-27
The Secret Society™ - Hidden Mystery;93;Italien;2017-04-27
Mahjong Journey;128;Italien;2017-04-27
Twin Moons Society™: Hidden Mystery;179;Italien;2017-04-27
Survivors: The Quest;277;Italien;2017-04-27
Homicide Squad: Hidden Crimes;320;Italien;2017-04-27
Nightmares from the Deep: The Cursed Heart, Collector’s Edition HD;324;Italien;2017-04-27
Treasure Seekers 4: The Time Has Come HD;328;Italien;2017-04-27
Dark Arcana: The Carnival HD;329;Italien;2017-04-27
Jane&#39s Hotel 2: Family Hero HD;341;Italien;2017-04-27
9 Clues: The Secret of Serpent Creek HD;571;Italien;2017-04-27
Build-a-lot 4: Power Source HD;670;Italien;2017-04-27
Brightstone Mysteries: Paranormal Hotel HD;706;Italien;2017-04-27
Brave Tribe;812;Italien;2017-04-27
Build-a-lot 3: Passport to Europe HD (Full);938;Italien;2017-04-27
Hidden City: Mystery of Shadows;90;Holland;2017-04-27
Twin Moons Society™: Hidden Mystery;226;Holland;2017-04-27
Kate Malone: Hidden Object Detective;457;Holland;2017-04-27
Mahjong Journey;549;Holland;2017-04-27
Hidden Wonders of the Depths HD;613;Holland;2017-04-27
The Secret Society™ - Hidden Mystery;686;Holland;2017-04-27
Homicide Squad: Hidden Crimes;770;Holland;2017-04-27
Build-a-lot 3: Passport to Europe HD (Full);799;Holland;2017-04-27
Hidden City: Mystery of Shadows;40;Spanien;2017-04-27
The Secret Society™ - Hidden Mystery;48;Spanien;2017-04-27
Mahjong Journey;91;Spanien;2017-04-27
Twin Moons Society™: Hidden Mystery;109;Spanien;2017-04-27
Letters From Nowhere: A Hidden Object Mystery;117;Spanien;2017-04-27
Brave Tribe;152;Spanien;2017-04-27
Survivors: The Quest;197;Spanien;2017-04-27
Nightmares from the Deep: The Cursed Heart, Collector’s Edition HD;454;Spanien;2017-04-27
Lost Souls: Timeless Fables Collector&#39s Edition HD;455;Spanien;2017-04-27
Game of Dragons HD;456;Spanien;2017-04-27
The Paranormal Society: Hidden Adventure;522;Spanien;2017-04-27
The Mystery of the Crystal Portal HD (Free);547;Spanien;2017-04-27
Left in the Dark: No One on Board HD;638;Spanien;2017-04-27
Supermarket Mania® Journey;665;Spanien;2017-04-27
Graven: The Purple Moon Prophecy HD;805;Spanien;2017-04-27
Myths of Orion: Light from the North HD (Full);959;Spanien;2017-04-27
Hidden City: Mystery of Shadows;68;Kina;2017-04-27
Twin Moons Society™: Hidden Mystery;264;Kina;2017-04-27
Mahjong Journey;341;Kina;2017-04-27
Supermarket Mania® Journey;398;Kina;2017-04-27
The Secret Society™ - Hidden Mystery;505;Kina;2017-04-27
Supermarket Management 2 HD;587;Kina;2017-04-27
Homicide Squad: Hidden Crimes;613;Kina;2017-04-27
Survivors: The Quest;631;Kina;2017-04-27
Abyss: the Wraiths of Eden HD;651;Kina;2017-04-27
Lost Souls: Enchanted Paintings HD;659;Kina;2017-04-27
Kate Malone: Hidden Object Detective;844;Kina;2017-04-27
Lost Souls: Timeless Fables Collector&#39s Edition HD;919;Kina;2017-04-27
Brave Tribe;977;Kina;2017-04-27
The Cursed Ship, Collector’s Edition HD;998;Kina;2017-04-27
The Secret Society™ - Hidden Mystery;32;Korea;2017-04-27
Hidden City: Mystery of Shadows;98;Korea;2017-04-27
9 Clues 2: The Ward HD;166;Korea;2017-04-27
Stand O&#39Food® 3 HD;194;Korea;2017-04-27
Survivors: The Quest;202;Korea;2017-04-27
Supermarket Mania® Journey;217;Korea;2017-04-27
Twin Moons Society™: Hidden Mystery;237;Korea;2017-04-27
Mahjong Journey;372;Korea;2017-04-27
Virtual City Playground HD;585;Korea;2017-04-27
The Island Castaway: Lost World®;749;Korea;2017-04-27
Letters From Nowhere: A Hidden Object Mystery;848;Korea;2017-04-27
Brave Tribe;924;Korea;2017-04-27
Lost Souls: Enchanted Paintings HD;933;Korea;2017-04-27
Stand O’ Food® Empire;952;Korea;2017-04-27
Hidden City: Mystery of Shadows;19;Ryssland;2017-04-27
The Secret Society™ - Hidden Mystery;40;Ryssland;2017-04-27
Mahjong Journey;157;Ryssland;2017-04-27
Twin Moons Society™: Hidden Mystery;174;Ryssland;2017-04-27
Letters From Nowhere: A Hidden Object Mystery;183;Ryssland;2017-04-27
Survivors: The Quest;248;Ryssland;2017-04-27
Royal Trouble: Hidden Honeymoon Havoc HD;380;Ryssland;2017-04-27
Supermarket Mania® Journey;433;Ryssland;2017-04-27
Stand O’ Food® Empire;461;Ryssland;2017-04-27
Questerium: Sinister Trinity, Collector&#39s Edition HD (Full);697;Ryssland;2017-04-27
Hidden City: Mystery of Shadows;64;Brasilien;2017-04-27
The Secret Society™ - Hidden Mystery;159;Brasilien;2017-04-27
Graven: The Purple Moon Prophecy HD;179;Brasilien;2017-04-27
Mahjong Journey;199;Brasilien;2017-04-27
Twin Moons Society™: Hidden Mystery;295;Brasilien;2017-04-27
Survivors: The Quest;307;Brasilien;2017-04-27
The Paranormal Society: Hidden Adventure;489;Brasilien;2017-04-27
Lost Souls: Enchanted Paintings HD;586;Brasilien;2017-04-27
Supermarket Mania® Journey;593;Brasilien;2017-04-27
Homicide Squad: Hidden Crimes;675;Brasilien;2017-04-27
Virtual City Playground HD;918;Brasilien;2017-04-27
Hidden City: Mystery of Shadows;60;USA;2017-04-28
The Secret Society™ - Hidden Mystery;62;USA;2017-04-28
Mahjong Journey;72;USA;2017-04-28
Twin Moons Society™: Hidden Mystery;221;USA;2017-04-28
Supermarket Mania® Journey;317;USA;2017-04-28
Survivors: The Quest;323;USA;2017-04-28
Letters From Nowhere: A Hidden Object Mystery;520;USA;2017-04-28
Brave Tribe;694;USA;2017-04-28
Homicide Squad: Hidden Crimes;890;USA;2017-04-28
Mahjong Journey;32;UK;2017-04-28
Hidden City: Mystery of Shadows;41;UK;2017-04-28
The Secret Society™ - Hidden Mystery;57;UK;2017-04-28
Twin Moons Society™: Hidden Mystery;105;UK;2017-04-28
Survivors: The Quest;203;UK;2017-04-28
Supermarket Mania® Journey;349;UK;2017-04-28
Homicide Squad: Hidden Crimes;444;UK;2017-04-28
Brave Tribe;457;UK;2017-04-28
Virtual City Playground HD;539;UK;2017-04-28
Lost Souls: Enchanted Paintings HD;903;UK;2017-04-28
The Island - Castaway™ HD;931;UK;2017-04-28
Special Enquiry Detail: Engaged to Kill™ HD;934;UK;2017-04-28
Hidden City: Mystery of Shadows;40;Tyskland;2017-04-28
The Secret Society™ - Hidden Mystery;51;Tyskland;2017-04-28
Mahjong Journey;72;Tyskland;2017-04-28
Twin Moons Society™: Hidden Mystery;124;Tyskland;2017-04-28
Supermarket Mania® Journey;254;Tyskland;2017-04-28
Survivors: The Quest;268;Tyskland;2017-04-28
Brave Tribe;427;Tyskland;2017-04-28
Lost Souls: Enchanted Paintings HD;520;Tyskland;2017-04-28
Letters From Nowhere: A Hidden Object Mystery;562;Tyskland;2017-04-28
Homicide Squad: Hidden Crimes;579;Tyskland;2017-04-28
Hidden City: Mystery of Shadows;58;Canada;2017-04-28
The Secret Society™ - Hidden Mystery;72;Canada;2017-04-28
Mahjong Journey;105;Canada;2017-04-28
Survivors: The Quest;183;Canada;2017-04-28
Supermarket Mania® Journey;200;Canada;2017-04-28
Twin Moons Society™: Hidden Mystery;507;Canada;2017-04-28
The Paranormal Society: Hidden Adventure;576;Canada;2017-04-28
The Island - Castaway™ HD;745;Canada;2017-04-28
Dark Arcana: The Carnival HD (Full);756;Canada;2017-04-28
Letters From Nowhere: A Hidden Object Mystery;824;Canada;2017-04-28
Mahjong Journey;72;Frankrike;2017-04-28
Hidden City: Mystery of Shadows;73;Frankrike;2017-04-28
Brave Tribe;79;Frankrike;2017-04-28
The Secret Society™ - Hidden Mystery;111;Frankrike;2017-04-28
Supermarket Mania® Journey;144;Frankrike;2017-04-28
Twin Moons Society™: Hidden Mystery;147;Frankrike;2017-04-28
Survivors: The Quest;188;Frankrike;2017-04-28
Nightmares from the Deep®: A Hidden Object Adventure;386;Frankrike;2017-04-28
The Island Castaway: Lost World®;418;Frankrike;2017-04-28
Virtual City Playground HD;431;Frankrike;2017-04-28
The Island - Castaway™ HD;530;Frankrike;2017-04-28
Kate Malone: Hidden Object Detective;635;Frankrike;2017-04-28
Supermarket Management 2 HD;689;Frankrike;2017-04-28
Build-a-lot 3: Passport to Europe HD (Full);694;Frankrike;2017-04-28
Doomsday Preppers™;764;Frankrike;2017-04-28
Hidden Wonders of the Depths HD;876;Frankrike;2017-04-28
Homicide Squad: Hidden Crimes;955;Frankrike;2017-04-28
Stand O’ Food® Empire;973;Frankrike;2017-04-28
Hidden City: Mystery of Shadows;116;Japan;2017-04-28
The Secret Society™ - Hidden Mystery;162;Japan;2017-04-28
Twin Moons Society™: Hidden Mystery;228;Japan;2017-04-28
Mahjong Journey;273;Japan;2017-04-28
Brave Tribe;420;Japan;2017-04-28
Kate Malone: Hidden Object Detective;550;Japan;2017-04-28
Survivors: The Quest;552;Japan;2017-04-28
Supermarket Mania® Journey;616;Japan;2017-04-28
Letters From Nowhere: A Hidden Object Mystery;736;Japan;2017-04-28
Abyss: the Wraiths of Eden HD;838;Japan;2017-04-28
Where Angels Cry HD;839;Japan;2017-04-28
Graven: The Purple Moon Prophecy HD;840;Japan;2017-04-28
The Paranormal Society: Hidden Adventure;901;Japan;2017-04-28
Homicide Squad: Hidden Crimes;963;Japan;2017-04-28
Hidden City: Mystery of Shadows;56;Australien;2017-04-28
Mahjong Journey;64;Australien;2017-04-28
The Secret Society™ - Hidden Mystery;86;Australien;2017-04-28
Supermarket Mania® Journey;212;Australien;2017-04-28
Twin Moons Society™: Hidden Mystery;225;Australien;2017-04-28
Survivors: The Quest;302;Australien;2017-04-28
The Island Castaway: Lost World®;511;Australien;2017-04-28
Bigfoot: Hidden Giant HD;810;Australien;2017-04-28
Letters From Nowhere: A Hidden Object Mystery;863;Australien;2017-04-28
Kate Malone: Hidden Object Detective;945;Australien;2017-04-28
Hidden City: Mystery of Shadows;59;Italien;2017-04-28
The Secret Society™ - Hidden Mystery;139;Italien;2017-04-28
Mahjong Journey;157;Italien;2017-04-28
Twin Moons Society™: Hidden Mystery;178;Italien;2017-04-28
Survivors: The Quest;231;Italien;2017-04-28
Letters From Nowhere: A Hidden Object Mystery;288;Italien;2017-04-28
Brave Tribe;354;Italien;2017-04-28
Homicide Squad: Hidden Crimes;378;Italien;2017-04-28
Supermarket Mania® Journey;382;Italien;2017-04-28
Nightmares from the Deep: The Cursed Heart, Collector’s Edition HD;540;Italien;2017-04-28
Treasure Seekers 4: The Time Has Come HD;549;Italien;2017-04-28
Dark Arcana: The Carnival HD;550;Italien;2017-04-28
The Cursed Ship, Collector’s Edition HD;551;Italien;2017-04-28
Jane&#39s Hotel 2: Family Hero HD;584;Italien;2017-04-28
9 Clues: The Secret of Serpent Creek HD;791;Italien;2017-04-28
Build-a-lot 4: Power Source HD;873;Italien;2017-04-28
Brightstone Mysteries: Paranormal Hotel HD;900;Italien;2017-04-28
Twin Moons Society™: Hidden Mystery;96;Holland;2017-04-28
Hidden City: Mystery of Shadows;161;Holland;2017-04-28
The Secret Society™ - Hidden Mystery;394;Holland;2017-04-28
Special Enquiry Detail: Engaged to Kill™ HD;424;Holland;2017-04-28
Mahjong Journey;455;Holland;2017-04-28
Spirit Walkers: Curse of the Cypress Witch HD;531;Holland;2017-04-28
Jack of All Tribes HD;574;Holland;2017-04-28
Virtual City Playground HD;765;Holland;2017-04-28
Kate Malone: Hidden Object Detective;800;Holland;2017-04-28
Hidden Wonders of the Depths HD;962;Holland;2017-04-28
The Secret Society™ - Hidden Mystery;45;Spanien;2017-04-28
Hidden City: Mystery of Shadows;49;Spanien;2017-04-28
Survivors: The Quest;109;Spanien;2017-04-28
Letters From Nowhere: A Hidden Object Mystery;124;Spanien;2017-04-28
Twin Moons Society™: Hidden Mystery;171;Spanien;2017-04-28
Mahjong Journey;173;Spanien;2017-04-28
Brave Tribe;276;Spanien;2017-04-28
The Mystery of the Crystal Portal 2 - Beyond the Horizon HD;503;Spanien;2017-04-28
Lost Souls: Timeless Fables Collector&#39s Edition HD;633;Spanien;2017-04-28
Nightmares from the Deep: The Cursed Heart, Collector’s Edition HD;638;Spanien;2017-04-28
Game of Dragons HD;640;Spanien;2017-04-28
The Paranormal Society: Hidden Adventure;691;Spanien;2017-04-28
The Mystery of the Crystal Portal HD (Free);714;Spanien;2017-04-28
Left in the Dark: No One on Board HD;794;Spanien;2017-04-28
Supermarket Mania® Journey;805;Spanien;2017-04-28
Graven: The Purple Moon Prophecy HD;960;Spanien;2017-04-28
Hidden City: Mystery of Shadows;88;Kina;2017-04-28
Mahjong Journey;245;Kina;2017-04-28
Homicide Squad: Hidden Crimes;266;Kina;2017-04-28
Twin Moons Society™: Hidden Mystery;310;Kina;2017-04-28
The Secret Society™ - Hidden Mystery;385;Kina;2017-04-28
Supermarket Mania® Journey;444;Kina;2017-04-28
Survivors: The Quest;445;Kina;2017-04-28
Abyss: the Wraiths of Eden HD;587;Kina;2017-04-28
Graven: The Purple Moon Prophecy HD;598;Kina;2017-04-28
Virtual City HD (Full);760;Kina;2017-04-28
Spirit Walkers: Curse of the Cypress Witch HD;766;Kina;2017-04-28
Virtual City Playground HD;863;Kina;2017-04-28
Supermarket Management 2 HD;874;Kina;2017-04-28
Lost Souls: Enchanted Paintings HD;967;Kina;2017-04-28
Brave Tribe;981;Kina;2017-04-28
